x,y,z,position
6.81,42.55,23.2,2
6.05,42.46,23.64,2
6.61,42.54,23.24,2
5.86,42.55,23.26,2
6.4,42.69,22.58,2
7.56,42.88,21.57,2
3.17,43.55,18.04,2
2.26,43.86,16.03,2
5.45,43.43,18.74,2
2.26,43.35,19.23,2
3.1,43.66,17.39,2
2.68,43.69,17.17,2
3.67,43.68,17.24,2
3.06,43.49,18.41,2
3.56,43.55,18.04,2
3.43,43.62,17.6,2
3.52,43.64,17.49,2
3.6,43.51,18.31,2
3.06,43.58,17.84,2
2.9,43.5,18.33,2
3.3,43.53,18.19,2
2.94,43.47,18.54,2
3.58,43.54,18.09,2
3.23,43.54,18.12,2
2.79,43.44,18.7,2
2.69,43.56,18.0,2
2.67,43.5,18.36,2
3.15,43.43,18.77,2
3.02,43.54,18.11,2
3.56,43.51,18.27,2
3.6,43.36,19.15,2
3.05,43.49,18.43,2
2.7,43.43,18.8,2
2.86,43.29,19.59,2
2.74,43.23,19.9,2
2.6,43.22,19.97,2
3.2,43.37,19.14,2
2.76,43.17,20.23,2
2.75,43.31,19.5,2
3.17,43.38,19.05,2
2.86,43.16,20.32,2
3.18,43.32,19.41,2
3.06,43.21,20.0,2
1.89,43.2,20.07,2
3.29,43.15,20.32,2
2.74,43.21,20.01,2
3.06,43.15,20.33,2
3.39,43.35,19.24,2
3.25,43.25,19.82,2
3.65,43.14,20.37,2
3.16,43.2,20.09,2
2.94,43.18,20.21,2
2.77,43.31,19.46,2
2.44,43.53,18.21,2
1.35,43.49,18.41,2
1.9,43.77,16.69,2
2.12,43.86,16.07,2
2.8,43.78,16.6,2
5.32,43.61,17.61,2
5.72,43.55,17.96,2
7.84,43.65,17.3,2
5.59,43.37,19.04,2
5.93,43.74,16.78,2
4.56,44.2,13.44,2
4.44,44.3,12.56,2
3.68,44.57,9.86,2
3.82,44.67,8.61,2
3.92,44.7,8.28,2
4.71,44.76,7.45,2
5.04,44.75,7.53,2
4.59,44.79,6.88,2
3.83,44.88,5.25,2
3.88,44.93,4.08,2
3.16,44.86,5.74,2
6.09,44.88,5.19,2
6.13,44.83,6.16,2
3.26,44.44,11.3,2
1.69,44.77,7.29,2
3.13,44.79,6.87,2
5.63,44.76,7.44,2
1.53,44.84,6.06,2
-0.68,44.87,5.56,2
1.96,44.96,3.01,2
0.53,44.94,3.67,2
2.26,44.92,4.24,2
2.86,44.94,3.74,2
3.49,44.89,4.91,2
3.56,44.91,4.56,2
3.9,44.94,3.7,2
2.49,44.92,4.32,2
2.5,44.95,3.22,2
3.06,44.91,4.46,2
3.01,44.89,4.91,2
1.22,44.88,5.29,2
2.38,44.95,3.27,2
2.53,44.97,2.62,2
2.59,44.93,4.01,2
3.03,44.94,3.63,2
2.39,44.95,3.25,2
2.49,44.98,2.22,2
1.53,44.99,1.16,2
2.0,44.97,2.52,2
1.22,44.92,4.16,2
2.45,44.89,5.1,2
2.76,44.91,4.45,2
0.76,44.9,4.85,2
3.02,44.92,4.27,2
2.48,44.88,5.31,2
2.41,44.81,6.54,2
2.25,44.87,5.48,2
2.86,44.86,5.62,2
2.35,44.89,5.07,2
2.73,44.87,5.37,2
2.11,44.86,5.67,2
2.12,44.83,6.22,2
1.92,44.85,5.79,2
2.48,44.76,7.37,2
2.35,44.81,6.57,2
2.24,44.78,7.06,2
3.03,44.82,6.42,2
4.55,44.87,5.48,2
4.17,44.84,5.96,2
4.59,44.85,5.93,2
4.95,44.88,5.3,2
4.83,44.83,6.14,2
3.84,44.38,11.83,2
4.01,44.08,14.37,2
0.32,43.34,19.35,2
0.95,-44.87,5.54,3
1.3,-44.87,5.37,3
0.66,-44.91,4.42,3
2.26,-44.93,4.01,3
0.77,-44.95,3.21,3
0.25,-44.94,3.84,3
1.0,-44.96,3.17,3
2.51,-44.92,4.39,3
1.8,-44.88,5.24,3
2.44,-44.97,2.66,3
0.45,-44.9,4.75,3
1.72,-44.96,2.9,3
1.95,-44.91,4.62,3
0.39,-44.94,3.86,3
1.74,-44.94,3.86,3
-1.41,-44.98,2.21,3
-0.75,-44.96,2.89,3
-0.65,-44.96,2.95,3
-1.03,-44.94,3.76,3
-0.15,-44.94,3.58,3
0.24,-44.93,4.08,3
0.12,-44.93,3.9,3
-0.26,-44.97,2.82,3
-0.94,-44.9,4.73,3
-1.14,-44.91,4.48,3
-2.44,-44.93,4.0,3
-2.48,-44.94,3.66,3
-2.72,-44.98,1.9,3
-4.08,-44.91,4.56,3
-2.45,-44.28,12.77,3
-5.75,-44.43,11.38,3
-5.42,-44.24,13.04,3
-6.31,-44.31,12.41,3
-7.19,-44.46,10.96,3
-6.78,-44.4,11.64,3
-4.72,-44.11,14.2,3
-4.16,-44.0,14.99,3
-6.28,-44.58,9.72,3
-7.77,-43.98,15.05,3
-9.11,-43.94,15.28,3
-7.31,-44.42,11.38,3
-8.99,-44.33,12.17,3
-7.74,-44.49,10.66,3
-4.87,-44.35,12.16,3
-7.41,-44.19,13.43,3
-7.27,-44.24,12.99,3
-8.26,-44.45,11.07,3
-7.46,-44.49,10.68,3
-8.74,-44.42,11.35,3
-7.47,-44.59,9.55,3
-9.55,-44.83,6.23,3
-7.99,-44.66,8.7,3
-7.22,-44.66,8.75,3
-7.42,-44.74,7.66,3
-7.58,-44.75,7.51,3
-7.85,-44.76,7.33,3
-7.24,-44.86,5.64,3
-7.1,-44.8,6.73,3
-5.62,-44.82,6.42,3
-8.22,-44.76,7.36,3
-6.84,-44.76,7.32,3
-6.86,-44.76,7.31,3
-7.87,-44.82,6.41,3
-6.68,-44.79,6.95,3
-8.14,-44.8,6.76,3
-6.91,-44.81,6.62,3
-8.98,-44.84,6.02,3
-6.65,-44.77,7.26,3
-6.55,-44.81,6.56,3
-6.47,-44.76,7.42,3
-6.79,-44.79,6.91,3
-5.26,-44.8,6.73,3
-5.89,-44.78,7.01,3
-5.72,-44.72,7.96,3
-2.68,-44.74,7.72,3
-3.15,-44.64,9.06,3
-2.74,-44.55,10.08,3
-1.42,-44.39,11.74,3
-2.63,-44.62,9.27,3
-0.86,-44.51,10.59,3
-2.51,-44.71,8.07,3
1.31,-44.8,6.74,3
-0.75,-44.6,9.52,3
-5.86,-44.37,11.92,3
-6.54,-44.24,13.04,3
-4.94,-44.49,10.77,3
-4.41,-44.63,9.22,3
-3.94,-44.57,9.92,3
-4.37,-44.55,10.11,3
-3.96,-44.54,10.23,3
-3.75,-44.56,10.05,3
-4.03,-44.5,10.62,3
-3.77,-44.55,10.08,3
-3.93,-44.58,9.74,3
-3.84,-44.53,10.36,3
-3.65,-44.54,10.19,3
-4.2,-44.53,10.27,3
-4.09,-44.59,9.63,3
-3.87,-44.71,8.08,3
-3.4,-44.54,10.26,3
-3.57,-44.59,9.68,3
-3.69,-44.59,9.7,3
-3.64,-44.64,9.06,3
-3.11,-44.59,9.63,3
-2.53,-44.63,9.18,3
-4.24,-44.62,9.25,3
-4.04,-44.62,9.28,3
-4.1,-44.6,9.57,3
-4.28,-44.7,8.31,3
-4.0,-44.57,9.85,3
-3.21,-44.55,10.13,3
-2.21,-44.5,10.66,3
-4.45,-44.77,7.26,3
-2.34,-44.7,8.28,3
-4.96,-44.72,7.95,3
-2.55,-44.72,8.02,3
0.7,-44.59,9.66,3
-0.43,-44.17,13.74,3
-6.2,-43.91,15.6,3
-2.99,-44.09,14.31,3
-3.81,-44.78,7.14,3
-1.62,-44.71,8.11,3
-2.53,-44.81,6.63,3
-0.86,-44.85,5.8,3
-1.93,-44.73,7.89,3
-2.32,-44.78,7.04,3
-2.72,-44.82,6.49,3
-2.48,-44.78,7.11,3
-2.55,-44.75,7.6,3
-2.66,-44.76,7.45,3
-2.24,-44.74,7.75,3
-3.61,-44.79,6.87,3
-3.39,-44.7,8.2,3
-3.04,-44.69,8.39,3
-3.09,-44.68,8.47,3
-2.71,-44.7,8.33,3
-2.39,-44.74,7.76,3
-2.76,-44.7,8.21,3
-2.01,-44.76,7.43,3
-2.51,-44.72,8.05,3
-2.29,-44.75,7.62,3
-2.27,-44.74,7.7,3
-2.65,-44.7,8.25,3
-4.9,-44.88,5.13,3
-1.91,-44.5,10.67,3
-4.2,-44.03,14.8,3
-2.33,-43.84,16.17,3
-2.59,-44.35,12.13,3
-5.59,-44.46,11.06,3
-3.29,-44.16,13.76,3
-5.84,-43.89,15.78,3
-4.67,-43.95,15.35,3
-6.11,-44.11,14.15,3
-9.85,-44.02,14.67,3
-5.59,-44.18,13.58,3
-7.14,-44.35,12.02,3
-5.98,-44.33,12.25,3
-5.61,-44.49,10.75,3
-2.5,-44.42,11.43,3
-6.64,-44.45,11.08,3
-7.72,-44.41,11.49,3
-6.03,-44.49,10.73,3
-6.18,-44.44,11.21,3
-6.04,-44.41,11.56,3
-5.89,-44.5,10.57,3
-6.29,-44.39,11.73,3
-6.34,-44.37,11.9,3
-6.75,-44.43,11.35,3
-6.39,-44.47,10.93,3
-5.77,-44.38,11.83,3
-5.22,-44.44,11.28,3
-5.31,-44.49,10.72,3
-5.97,-44.45,11.1,3
-5.25,-44.39,11.7,3
-6.38,-44.32,12.32,3
-5.33,-44.44,11.26,3
-5.3,-44.48,10.84,3
-5.37,-44.41,11.53,3
-5.59,-44.34,12.2,3
-5.17,-44.38,11.8,3
-5.35,-44.34,12.17,3
-5.63,-44.46,11.03,3
-5.28,-44.43,11.35,3
-5.34,-44.46,11.07,3
-6.58,-44.44,11.2,3
-5.91,-44.51,10.55,3
-5.54,-44.56,9.91,3
-5.46,-44.46,11.02,3
-5.76,-44.46,11.03,3
-7.18,-44.55,10.03,3
-5.22,-44.66,8.71,3
-5.43,-44.59,9.64,3
-4.32,-44.59,9.59,3
-5.96,-44.48,10.87,3
-6.09,-44.56,9.99,3
-4.94,-44.58,9.79,3
-5.16,-44.48,10.89,3
-5.43,-44.48,10.81,3
-8.07,-44.63,9.12,3
-7.0,-44.63,9.06,3
-6.64,-44.6,9.45,3
-6.6,-44.5,10.55,3
-5.86,-44.59,9.57,3
-6.73,-44.5,10.62,3
-5.63,-44.65,8.9,3
-6.21,-44.63,9.08,3
-4.72,-44.58,9.7,3
-5.05,-44.48,10.82,3
-5.18,-44.43,11.3,3
-6.11,-44.53,10.29,3
-8.02,-44.48,10.79,3
-6.47,-44.61,9.43,3
-6.33,-44.69,8.4,3
-6.16,-44.67,8.59,3
-6.37,-44.69,8.38,3
-6.69,-44.67,8.61,3
-6.65,-44.52,10.43,3
-6.95,-44.64,9.02,3
-5.83,-44.63,9.15,3
-6.26,-44.53,10.26,3
-5.92,-44.61,9.37,3
-5.97,-44.6,9.54,3
-6.11,-44.53,10.29,3
-5.95,-44.58,9.78,3
-6.25,-44.61,9.36,3
-6.08,-44.6,9.54,3
-6.64,-44.53,10.23,3
-6.46,-44.53,10.24,3
-6.4,-44.51,10.55,3
-5.73,-44.56,9.97,3
-6.87,-44.42,11.45,3
-6.45,-44.41,11.51,3
-6.68,-44.61,9.42,3
-6.6,-44.3,12.51,3
-7.09,-44.21,13.32,3
-5.42,-44.45,11.11,3
-8.12,-44.09,14.2,3
-7.7,-44.18,13.48,3
-8.51,-44.09,14.23,3
-6.16,-44.13,14.0,3
-7.02,-44.47,10.89,3
-6.48,-44.52,10.34,3
-6.86,-44.3,12.56,3
-5.47,-43.7,17.03,3
-7.06,-43.69,17.06,3
-7.49,-43.76,16.6,3
-7.81,-43.97,15.15,3
-7.19,-43.79,16.4,3
-6.19,-43.93,15.45,3
-8.56,-44.0,14.87,3
-7.78,-44.36,11.98,3
-7.63,-44.25,12.95,3
-7.76,-44.36,11.98,3
-9.16,-44.64,8.9,3
-8.15,-44.39,11.62,3
-5.27,-44.39,11.77,3
-7.7,-44.33,12.21,3
-7.1,-44.27,12.77,3
-6.23,-44.35,12.1,3
-5.96,-44.3,12.51,3
-7.36,-44.51,10.52,3
-7.59,-44.34,12.13,3
-6.05,-44.39,11.71,3
-6.97,-44.42,11.37,3
-7.83,-44.45,11.1,3
-7.2,-44.54,10.19,3
-7.19,-44.49,10.67,3
-6.77,-44.54,10.17,3
-6.11,-44.49,10.76,3
-6.94,-44.51,10.51,3
-6.03,-44.49,10.73,3
-7.55,-44.56,9.98,3
-6.95,-44.48,10.81,3
-6.31,-44.5,10.62,3
-6.81,-44.53,10.28,3
-6.49,-44.47,10.95,3
-6.77,-44.55,10.09,3
-6.51,-44.51,10.52,3
-5.86,-44.43,11.33,3
-5.78,-44.41,11.53,3
-6.12,-44.43,11.29,3
-5.44,-44.63,9.14,3
-6.07,-44.65,8.85,3
-6.81,-44.47,10.96,3
-6.71,-44.55,10.06,3
-6.26,-44.51,10.53,3
-6.48,-44.55,10.04,3
-6.89,-44.55,10.01,3
-5.11,-44.46,11.0,3
-5.6,-44.46,11.01,3
-5.45,-44.45,11.16,3
-5.26,-44.46,11.02,3
-5.89,-44.44,11.25,3
-6.04,-44.49,10.74,3
-5.9,-44.53,10.34,3
-5.82,-44.44,11.23,3
-6.02,-44.46,11.04,3
-6.36,-44.54,10.13,3
-7.22,-44.51,10.49,3
-6.43,-44.54,10.16,3
-5.94,-44.52,10.39,3
-6.14,-44.57,9.86,3
-6.13,-44.52,10.42,3
-6.63,-44.53,10.3,3
-6.64,-44.61,9.42,3
-6.24,-44.58,9.69,3
-6.22,-44.57,9.82,3
-6.25,-44.65,8.87,3
-6.59,-44.63,9.11,3
-6.44,-44.6,9.54,3
-6.03,-44.62,9.3,3
-5.32,-44.62,9.3,3
-6.08,-44.57,9.81,3
-5.9,-44.53,10.27,3
-5.47,-44.58,9.76,3
-5.82,-44.59,9.64,3
-6.25,-44.61,9.38,3
-5.7,-44.56,9.94,3
-5.37,-44.57,9.81,3
-4.47,-44.59,9.59,3
-5.74,-44.59,9.65,3
-4.15,-44.52,10.38,3
-5.82,-44.6,9.52,3
-5.71,-44.66,8.72,3
-6.18,-44.6,9.45,3
-6.25,-44.59,9.57,3
-5.59,-44.54,10.19,3
-5.59,-44.56,9.98,3
-5.48,-44.59,9.57,3
-5.93,-44.56,9.98,3
-5.78,-44.64,9.04,3
-5.64,-44.58,9.73,3
-4.5,-44.59,9.64,3
-5.65,-44.62,9.25,3
-5.82,-44.52,10.42,3
-5.98,-44.59,9.57,3
-5.31,-44.54,10.21,3
-6.13,-44.55,10.03,3
-6.17,-44.61,9.33,3
-4.86,-44.6,9.55,3
-5.73,-44.51,10.52,3
-6.54,-44.59,9.6,3
-5.88,-44.58,9.73,3
-5.02,-44.53,10.33,3
-5.35,-44.45,11.15,3
-5.19,-44.44,11.24,3
-4.99,-44.64,9.07,3
-2.51,-44.55,10.17,3
-4.33,-44.6,9.53,3
-3.28,-44.68,8.56,3
-4.27,-44.64,8.98,3
-4.34,-44.66,8.84,3
-4.69,-44.53,10.29,3
-4.2,-44.6,9.57,3
-4.08,-44.56,9.95,3
-4.51,-44.59,9.64,3
-4.82,-44.6,9.46,3
-4.95,-44.61,9.46,3
-5.04,-44.6,9.56,3
-4.05,-44.61,9.39,3
-4.56,-44.5,10.68,3
-4.15,-44.63,9.21,3
-4.41,-44.67,8.72,3
-5.15,-44.59,9.69,3
-4.86,-44.65,8.87,3
-5.37,-44.58,9.73,3
-4.66,-44.69,8.39,3
-4.82,-44.55,10.12,3
-5.34,-44.63,9.2,3
-4.33,-44.53,10.28,3
-5.05,-44.56,9.94,3
-5.62,-44.68,8.53,3
-5.43,-44.65,8.88,3
-5.05,-44.58,9.74,3
-6.41,-44.59,9.61,3
-4.84,-44.54,10.21,3
-4.26,-44.62,9.26,3
-3.9,-44.63,9.16,3
-5.52,-44.51,10.56,3
-5.21,-44.46,11.03,3
-4.49,-44.59,9.67,3
-4.55,-44.65,8.91,3
-4.82,-44.59,9.64,3
-4.05,-44.55,10.07,3
-4.92,-44.5,10.68,3
-4.3,-44.44,11.22,3
-3.44,-44.6,9.5,3
-4.3,-44.6,9.5,3
-4.81,-44.53,10.32,3
-4.71,-44.62,9.25,3
-3.59,-44.57,9.93,3
-4.23,-44.56,9.94,3
-4.32,-44.54,10.26,3
-4.88,-44.56,10.02,3
-4.18,-44.57,9.9,3
-4.17,-44.52,10.43,3
-4.4,-44.47,10.94,3
-4.18,-44.56,10.0,3
-5.07,-44.55,10.09,3
-4.44,-44.46,11.07,3
-4.01,-44.49,10.73,3
-4.06,-44.48,10.81,3
-4.59,-44.55,10.13,3
-5.19,-44.42,11.45,3
-4.67,-44.6,9.48,3
-4.21,-44.51,10.53,3
-4.83,-44.49,10.7,3
-5.71,-44.58,9.79,3
-4.92,-44.46,11.05,3
-4.93,-44.5,10.61,3
-4.23,-44.59,9.6,3
-4.87,-44.53,10.26,3
-4.99,-44.47,10.96,3
-5.57,-44.44,11.23,3
-5.63,-44.5,10.59,3
-6.08,-44.52,10.39,3
-5.43,-44.58,9.7,3
-5.2,-44.55,10.1,3
-5.04,-44.5,10.6,3
-5.56,-44.52,10.44,3
-5.22,-44.51,10.55,3
-4.82,-44.4,11.63,3
-5.41,-44.44,11.21,3
-6.15,-44.42,11.44,3
-4.61,-44.6,9.57,3
-4.67,-44.52,10.47,3
-3.79,-44.56,10.03,3
-5.11,-44.44,11.27,3
-4.4,-44.46,11.09,3
-3.65,-44.37,11.95,3
-5.94,-44.65,8.94,3
-5.7,-44.51,10.53,3
-3.98,-44.57,9.93,3
-3.88,-44.19,13.53,3
-3.75,-44.54,10.27,3
-3.75,-44.73,7.87,3
-3.53,-44.71,8.15,3
-2.53,-44.6,9.5,3
-3.61,-44.55,10.09,3
-3.37,-44.54,10.25,3
-3.91,-44.62,9.35,3
-3.11,-44.55,10.09,3
-3.22,-44.5,10.64,3
-3.48,-44.64,8.99,3
-4.84,-44.55,10.07,3
-4.07,-44.51,10.52,3
-3.23,-44.45,11.22,3
-3.33,-44.42,11.47,3
-2.85,-44.53,10.3,3
-3.98,-44.53,10.3,3
-3.61,-44.39,11.8,3
-2.83,-44.47,10.97,3
-3.13,-44.45,11.16,3
-2.48,-44.55,10.13,3
-2.9,-44.52,10.49,3
-3.34,-44.51,10.54,3
-3.12,-44.57,9.94,3
-3.15,-44.58,9.72,3
-3.56,-44.6,9.58,3
-3.0,-44.53,10.3,3
-2.66,-44.55,10.11,3
-2.72,-44.49,10.73,3
-2.72,-44.44,11.26,3
-3.64,-44.62,9.3,3
-3.36,-44.51,10.51,3
-2.94,-44.35,12.16,3
-3.94,-44.41,11.56,3
-4.38,-44.34,12.2,3
-3.46,-44.24,13.08,3
-3.99,-44.27,12.86,3
-4.22,-44.48,10.85,3
-2.66,-44.33,12.31,3
-3.75,-44.32,12.38,3
-3.73,-44.48,10.83,3
-3.92,-44.54,10.24,3
-2.26,-44.42,11.51,3
-3.57,-44.43,11.39,3
-4.5,-44.39,11.75,3
-3.23,-44.52,10.49,3
-5.95,-44.51,10.52,3
-4.12,-44.58,9.72,3
-3.01,-44.42,11.49,3
-5.11,-44.68,8.48,3
-4.66,-44.43,11.39,3
-6.04,-44.59,9.66,3
-4.21,-44.31,12.53,3
-4.79,-44.38,11.83,3
-4.96,-44.48,10.81,3
-6.12,-44.49,10.67,3
-5.61,-44.52,10.39,3
-5.31,-44.41,11.51,3
-4.59,-44.34,12.2,3
-5.72,-44.49,10.76,3
-4.62,-44.5,10.67,3
-5.01,-44.55,10.11,3
-5.34,-44.51,10.57,3
-5.12,-44.55,10.11,3
-4.38,-44.43,11.4,3
-5.19,-44.35,12.1,3
-4.71,-44.26,12.94,3
-4.93,-44.35,12.16,3
-4.24,-44.31,12.46,3
-4.19,-44.32,12.38,3
-4.78,-44.43,11.34,3
-4.45,-44.4,11.61,3
-2.19,-44.35,12.17,3
-3.91,-44.26,12.9,3
-3.63,-44.37,11.96,3
-5.97,-43.65,17.38,3
-8.09,-43.37,18.95,3
-7.43,-42.87,21.64,3
-12.33,-42.51,23.0,3
-9.21,-41.66,26.8,3
-11.16,-40.58,30.41,3
-10.6,-41.75,26.33,3
-10.13,-41.92,25.69,3
-10.98,-41.26,28.1,3
-10.27,-40.81,29.74,3
-9.89,-41.27,28.17,3
-10.25,-40.41,31.07,3
-10.68,-40.41,31.02,3
-10.65,-40.89,29.45,3
-10.14,-41.05,28.95,3
-10.41,-40.82,29.7,3
-10.86,-40.9,29.4,3
-10.65,-40.99,29.09,3
-10.43,-40.86,29.56,3
-11.03,-41.02,28.97,3
-10.03,-40.94,29.33,3
-10.2,-41.06,28.91,3
-10.98,-40.7,30.04,3
-11.84,-40.48,30.66,3
-12.37,-39.69,33.01,3
-12.38,-39.58,33.33,3
-12.2,-39.11,34.7,3
-12.38,-38.86,35.35,3
-11.76,-39.12,34.73,3
-12.37,-39.12,34.65,3
-12.13,-38.79,35.58,3
-11.69,-38.64,36.04,3
-12.35,-38.8,35.5,3
-12.52,-38.75,35.6,3
-11.96,-38.56,36.21,3
-12.1,-38.95,35.15,3
-11.71,-38.76,35.71,3
-11.67,-38.99,35.1,3
-11.15,-39.05,35.0,3
-11.53,-39.71,33.08,3
-11.3,-41.09,28.68,3
-9.73,-41.95,25.61,3
-9.15,-42.57,22.98,3
-8.31,-42.49,23.38,3
-8.93,-42.93,21.24,3
-5.95,-43.13,20.37,3
-8.86,-43.13,20.25,3
-7.82,-43.1,20.46,3
-7.44,-42.83,21.82,3
-7.08,-42.74,22.28,3
-6.5,-43.22,19.89,3
-8.06,-43.02,20.87,3
-7.29,-42.98,21.09,3
-6.32,-43.29,19.5,3
-7.2,-43.63,17.44,3
-6.36,-43.94,15.41,3
-7.33,-43.74,16.71,3
-6.14,-43.85,16.06,3
-6.38,-43.76,16.6,3
-6.25,-44.0,14.99,3
-5.97,-43.96,15.28,3
-5.21,-43.95,15.35,3
-5.91,-43.81,16.32,3
-6.03,-43.92,15.57,3
-5.92,-43.76,16.67,3
-5.84,-43.8,16.36,3
-5.64,-43.92,15.53,3
-5.51,-43.89,15.75,3
-5.27,-43.91,15.67,3
-6.12,-43.9,15.7,3
-5.12,-43.97,15.2,3
-5.74,-43.96,15.24,3
-5.95,-43.97,15.21,3
-5.91,-44.01,14.92,3
-6.78,-44.1,14.21,3
-5.21,-44.07,14.49,3
-6.02,-44.08,14.38,3
-5.88,-44.4,11.59,3
-6.16,-44.48,10.83,3
-5.02,-44.68,8.46,3
-3.45,-44.76,7.38,3
-3.5,-44.93,4.1,3
-3.55,-44.82,6.45,3
-1.74,-44.77,7.28,3
-4.3,-44.76,7.38,3
-4.99,-44.62,9.31,3
-5.41,-44.65,8.95,3
-5.04,-44.66,8.81,3
-4.75,-44.57,9.86,3
-4.82,-44.63,9.13,3
-6.27,-44.73,7.77,3
-4.89,-44.62,9.28,3
-5.33,-44.71,8.13,3
-4.49,-44.65,8.86,3
-4.52,-44.71,8.09,3
-5.13,-44.56,9.97,3
-3.48,-44.74,7.64,3
-4.15,-44.65,8.85,3
-4.34,-44.7,8.26,3
-4.28,-44.68,8.53,3
-4.63,-44.69,8.33,3
-4.72,-44.71,8.07,3
-4.4,-44.7,8.23,3
-4.6,-44.73,7.87,3
-4.15,-44.67,8.63,3
-3.87,-44.75,7.59,3
-3.72,-44.71,8.15,3
-3.57,-44.71,8.06,3
-4.33,-44.67,8.7,3
-3.78,-44.66,8.74,3
-4.97,-44.65,8.88,3
-4.74,-44.7,8.24,3
-5.16,-44.71,8.07,3
-4.63,-44.69,8.36,3
-4.53,-44.72,7.97,3
-4.42,-44.72,7.93,3
-4.31,-44.7,8.28,3
-4.08,-44.68,8.54,3
-4.41,-44.68,8.56,3
-4.48,-44.69,8.34,3
-4.42,-44.72,7.97,3
-4.55,-44.71,8.15,3
-5.03,-44.75,7.52,3
-4.81,-44.72,7.99,3
-4.94,-44.67,8.62,3
-4.44,-44.76,7.46,3
-4.22,-44.72,7.98,3
-4.46,-44.76,7.39,3
-5.03,-44.71,8.15,3
-4.85,-44.77,7.2,3
-5.15,-44.71,8.08,3
-4.27,-44.73,7.81,3
-4.69,-44.76,7.4,3
-4.44,-44.75,7.57,3
-3.82,-44.73,7.85,3
-4.11,-44.72,7.96,3
-4.29,-44.83,6.14,3
-4.27,-44.79,6.98,3
-3.85,-44.75,7.6,3
-3.58,-44.75,7.52,3
-3.57,-44.83,6.21,3
-3.38,-44.72,7.99,3
-3.3,-44.72,7.93,3
-3.03,-44.77,7.16,3
-4.2,-44.74,7.75,3
-4.53,-44.68,8.47,3
-3.67,-44.73,7.79,3
-3.67,-44.7,8.29,3
-4.6,-44.69,8.34,3
-4.01,-44.72,8.03,3
-4.55,-44.68,8.57,3
-2.94,-44.77,7.26,3
-3.66,-44.78,7.0,3
-3.23,-44.82,6.46,3
-3.12,-44.76,7.4,3
-3.04,-44.77,7.24,3
-3.12,-44.66,8.84,3
-3.45,-44.73,7.78,3
-3.54,-44.71,8.13,3
-4.12,-44.73,7.82,3
-3.19,-44.73,7.78,3
-3.23,-44.69,8.38,3
-2.93,-44.76,7.44,3
-3.55,-44.79,6.92,3
-3.18,-44.77,7.32,3
-3.48,-44.71,8.09,3
-2.53,-44.66,8.82,3
-7.01,-44.38,11.8,3
-2.63,-44.33,12.29,3
-5.27,-44.04,14.69,3
-5.81,-43.67,17.21,3
-7.56,-43.88,15.79,3
-8.5,-43.89,15.67,3
-5.2,-43.83,16.19,3
-2.82,-44.19,13.58,3
-9.72,-43.97,15.07,3
-10.35,-43.61,17.38,3
-8.99,-43.72,16.79,3
-7.06,-43.89,15.72,3
-7.04,-43.76,16.61,3
-6.5,-43.78,16.49,3
-8.06,-43.98,15.05,3
-7.25,-43.84,16.07,3
-7.89,-43.71,16.87,3
-7.4,-43.73,16.81,3
-7.69,-43.77,16.54,3
-7.83,-43.75,16.62,3
-7.69,-43.95,15.31,3
-8.33,-43.82,16.17,3
-7.97,-43.64,17.36,3
-7.28,-43.73,16.8,3
-8.12,-43.69,16.99,3
-8.19,-43.68,17.1,3
-8.57,-43.75,16.62,3
-8.23,-43.72,16.82,3
-8.01,-43.79,16.36,3
-8.34,-43.79,16.37,3
-8.92,-43.71,16.84,3
-8.01,-43.76,16.6,3
-8.78,-43.84,15.99,3
-8.46,-43.94,15.31,3
-8.1,-43.77,16.48,3
-6.81,-43.75,16.71,3
-7.99,-42.47,23.48,3
-8.54,-43.1,20.42,3
-10.12,-42.88,21.41,3
-9.94,-42.63,22.62,3
-10.72,-43.07,20.42,3
-10.16,-42.82,21.69,3
-9.78,-42.69,22.37,3
-9.03,-42.78,21.99,3
-9.89,-43.38,18.79,3
-8.39,-43.65,17.29,3
-8.06,-43.52,18.09,3
-9.68,-43.63,17.31,3
-8.45,-43.27,19.5,3
-8.36,-43.3,19.31,3
-7.23,-43.19,20.0,3
-8.29,-43.44,18.53,3
-9.17,-43.46,18.38,3
-9.24,-43.41,18.66,3
-7.33,-43.37,19.01,3
-8.54,-43.58,17.71,3
-7.54,-43.4,18.82,3
-6.86,-43.41,18.79,3
-8.6,-43.4,18.77,3
-8.43,-43.45,18.47,3
-7.56,-43.37,18.97,3
-8.31,-43.28,19.45,3
-7.74,-43.39,18.83,3
-8.47,-43.5,18.19,3
-8.7,-43.52,18.07,3
-7.3,-43.48,18.33,3
-8.78,-43.45,18.47,3
-8.41,-43.39,18.83,3
-8.19,-43.45,18.48,3
-9.92,-43.36,18.9,3
-8.64,-43.45,18.48,3
-8.13,-43.63,17.38,3
-8.27,-43.52,18.1,3
-7.84,-43.57,17.81,3
-7.95,-43.54,17.94,3
-8.11,-43.55,17.91,3
-7.77,-43.47,18.4,3
-7.55,-43.6,17.58,3
-8.47,-43.4,18.73,3
-6.71,-43.51,18.22,3
-7.62,-43.61,17.53,3
-7.75,-43.76,16.58,3
-7.89,-43.68,17.1,3
-7.26,-43.69,17.04,3
-8.28,-43.69,17.01,3
-7.52,-43.7,16.99,3
-8.63,-43.32,19.21,3
-7.8,-43.7,16.94,3
